Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-11-07,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-11-06,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-11-05,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-11-04,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-11-01,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-31,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-30,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-29,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-28,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-25,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-24,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-22,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-21,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-18,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-17,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-16,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-15,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-14,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-10,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-09,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-08,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-07,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-04,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-03,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-02,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-10-01,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-30,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-27,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-26,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-25,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-24,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-23,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-20,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-19,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-18,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-17,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-16,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-13,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-12,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-11,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-10,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-06,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-05,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-04,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-03,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-09-02,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-30,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-29,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-27,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-26,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-23,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-22,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-21,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-20,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-19,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-16,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-15,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-14,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-13,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-12,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-09,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-08,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-07,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-06,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-05,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-08-01,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-31,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-30,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-29,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-26,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-25,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-24,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-23,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-22,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-19,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-18,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-17,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-16,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-15,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-12,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-11,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-10,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-09,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-08,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-05,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-04,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-03,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-02,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-07-01,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-28,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-27,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-26,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-25,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-24,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-20,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-19,"3.027,00",",",",","3.027,00",0.0,0,0,0
2024-06-18,"3.027,00",",",",","3.027,00",0.0,0,0,0
